,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
34576,11481.0,HTML/CSS,C++,Oracle,Firebase,Arduino,Android,jQuery,React.js,Eclipse
34580,11488.0,C#,HTML/CSS,Microsoft SQL Server,Firebase,Linux,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
34581,11488.0,HTML/CSS,Java,MySQL,MongoDB,Windows,Arduino,ASP.NET,React.js,Eclipse
34590,11489.0,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Cassandra,Linux,Android,Other(s):,Django,Eclipse
34602,11490.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Android,Android,ASP.NET,ASP.NET,Android Studio
34603,11490.0,C#,C++,Microsoft SQL Server,Microsoft SQL Server,AWS,Windows,jQuery,jQuery,IntelliJ
34617,11497.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Couchbase,Docker,Docker,jQuery,Django,IntelliJ
34634,11501.0,HTML/CSS,Go,MySQL,PostgreSQL,Android,Heroku,React.js,React.js,Visual Studio Code
34640,11508.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Docker,Android,React.js,React.js,Notepad++
34641,11508.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Docker,Other(s):,Other(s):,PHPStorm
34646,11511.0,Bash/Shell/PowerShell,Go,MySQL,MongoDB,AWS,Docker,Flask,Laravel,Eclipse
34650,11513.0,HTML/CSS,C#,MySQL,MongoDB,Android,Android,jQuery,jQuery,Eclipse
34665,11521.0,Bash/Shell/PowerShell,Go,Cassandra,Cassandra,AWS,AWS,Flask,Django,IntelliJ
34666,11521.0,Java,Java,MongoDB,DynamoDB,Docker,Docker,Spring,Flask,IPython / Jupyter
34680,11526.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Firebase,Arduino,Arduino,Express,Django,Sublime Text
34681,11526.0,HTML/CSS,JavaScript,Firebase,MariaDB,Heroku,Linux,jQuery,Express,Vim
34682,11526.0,JavaScript,Python,MariaDB,MongoDB,Linux,MacOS,Laravel,React.js,Visual Studio Code
34687,11527.0,Java,Java,Cassandra,Cassandra,Docker,Docker,Spring,Spring,IntelliJ
34691,11528.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,DynamoDB,AWS,Android,Angular/Angular.js,Express,Eclipse
34692,11528.0,HTML/CSS,Clojure,Couchbase,Redis,Docker,AWS,Express,React.js,Notepad++
34693,11528.0,Java,Dart,DynamoDB,Other(s):,Linux,Docker,jQuery,Vue.js,Sublime Text
34701,11530.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
34702,11530.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Windows,Docker,ASP.NET,ASP.NET,Visual Studio
34707,11533.0,Assembly,Go,MySQL,Cassandra,Docker,AWS,Angular/Angular.js,Django,Eclipse
34708,11533.0,Bash/Shell/PowerShell,Kotlin,Oracle,DynamoDB,Kubernetes,Google Cloud Platform,jQuery,React.js,IntelliJ
34709,11533.0,C,Python,PostgreSQL,MongoDB,Linux,Heroku,Spring,Vue.js,Sublime Text
34715,11540.0,Bash/Shell/PowerShell,Go,DynamoDB,Cassandra,Android,Arduino,Angular/Angular.js,Laravel,Atom
34716,11540.0,C,Kotlin,Elasticsearch,Redis,AWS,IBM Cloud or Watson,Django,Ruby on Rails,Vim
34728,11541.0,Bash/Shell/PowerShell,JavaScript,DynamoDB,DynamoDB,AWS,AWS,Express,Express,Visual Studio Code
34732,11544.0,C#,C++,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
34740,11546.0,C#,Dart,Couchbase,Firebase,Android,Android,Express,Express,Visual Studio Code
34753,11549.0,C#,HTML/CSS,Microsoft SQL Server,Firebase,Windows,Windows,ASP.NET,ASP.NET,Atom
34762,11553.0,HTML/CSS,C#,MySQL,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
34772,11554.0,HTML/CSS,C++,Oracle,Oracle,Android,Android,Spring,Spring,Android Studio
34784,11559.0,HTML/CSS,Elixir,MySQL,PostgreSQL,AWS,Arduino,Django,Django,Sublime Text
34789,11563.0,C#,Kotlin,Firebase,Cassandra,Android,Android,Angular/Angular.js,Django,Android Studio
34790,11563.0,Dart,Python,MariaDB,Firebase,AWS,AWS,ASP.NET,Laravel,IntelliJ
34791,11563.0,Go,Ruby,MongoDB,MariaDB,Docker,Docker,Django,Ruby on Rails,NetBeans
34804,11569.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,SQLite,Docker,Docker,Flask,Flask,Eclipse
34821,11580.0,C#,C#,Firebase,Microsoft SQL Server,Android,Android,ASP.NET,Angular/Angular.js,Eclipse
34822,11580.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,MySQL,Slack,Arduino,jQuery,ASP.NET,IntelliJ
34830,11581.0,C#,C#,MariaDB,MariaDB,Android,Android,jQuery,Django,Atom
34831,11581.0,HTML/CSS,Go,MySQL,MongoDB,AWS,AWS,React.js,jQuery,Sublime Text
34839,11583.0,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Heroku,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
34845,11584.0,C#,C#,Microsoft SQL Server,MongoDB,Docker,Docker,ASP.NET,ASP.NET,Notepad++
34849,11585.0,Bash/Shell/PowerShell,Erlang,MongoDB,Cassandra,AWS,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
34850,11585.0,C++,Go,Microsoft SQL Server,PostgreSQL,Docker,Heroku,jQuery,jQuery,Vim
34851,11585.0,Java,Kotlin,MySQL,Redis,Linux,Kubernetes,Spring,React.js,Visual Studio Code
34856,11586.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Elasticsearch,Arduino,Arduino,Angular/Angular.js,Angular/Angular.js,Atom
34857,11586.0,C,C,Elasticsearch,MariaDB,AWS,AWS,Flask,Django,Eclipse
34858,11586.0,C++,C++,MariaDB,MySQL,Docker,Docker,Spring,Spring,IntelliJ
34865,11589.0,HTML/CSS,C,Elasticsearch,PostgreSQL,AWS,Kubernetes,React.js,React.js,Sublime Text
34869,11592.0,Bash/Shell/PowerShell,Assembly,MongoDB,Couchbase,Android,Android,Angular/Angular.js,React.js,Android Studio
34870,11592.0,C,Go,MySQL,DynamoDB,Linux,Docker,jQuery,Ruby on Rails,Eclipse
34879,11593.0,HTML/CSS,Dart,Elasticsearch,Elasticsearch,Linux,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
34880,11593.0,Java,Go,MySQL,MongoDB,MacOS,Docker,jQuery,jQuery,Sublime Text
34886,11595.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,React.js,React.js,Visual Studio
34901,11602.0,C++,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Visual Studio
34906,11605.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Docker,AWS,ASP.NET,ASP.NET,Visual Studio
34907,11605.0,C#,C#,Microsoft SQL Server,MongoDB,Linux,Docker,jQuery,React.js,Visual Studio Code
34912,11607.0,C#,C#,Microsoft SQL Server,MariaDB,Linux,Docker,ASP.NET,ASP.NET,Eclipse
34913,11607.0,Dart,HTML/CSS,MySQL,Microsoft SQL Server,Windows,Linux,Other(s):,Other(s):,Visual Studio
34919,11608.0,C#,C#,MariaDB,PostgreSQL,AWS,AWS,jQuery,Flask,Visual Studio Code
34934,11610.0,C++,C#,Firebase,Firebase,Android,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
34942,11614.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Slack,ASP.NET,ASP.NET,Sublime Text
34953,11619.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Docker,ASP.NET,ASP.NET,Notepad++
34959,11620.0,Bash/Shell/PowerShell,C#,Firebase,MariaDB,AWS,Linux,Angular/Angular.js,Angular/Angular.js,Emacs
34965,11621.0,Go,Go,Elasticsearch,Cassandra,AWS,AWS,Django,Flask,Atom
34966,11621.0,HTML/CSS,Java,PostgreSQL,Couchbase,Docker,Docker,Flask,Spring,IntelliJ
34976,11625.0,C#,C++,MySQL,Firebase,Linux,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
34986,11628.0,PHP,Java,MySQL,Oracle,Docker,Kubernetes,Django,React.js,Eclipse
34989,11629.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Django,IPython / Jupyter
34990,11629.0,HTML/CSS,C#,PostgreSQL,MySQL,Docker,Docker,Flask,jQuery,Notepad++
34997,11631.0,C#,C#,Microsoft SQL Server,DynamoDB,Microsoft Azure,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
34998,11631.0,HTML/CSS,HTML/CSS,Redis,MongoDB,Windows,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
35002,11632.0,C#,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET,Android Studio
35012,11640.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
35013,11640.0,HTML/CSS,HTML/CSS,SQLite,SQLite,iOS,iOS,ASP.NET,ASP.NET,Visual Studio
35016,11642.0,HTML/CSS,HTML/CSS,Firebase,DynamoDB,Android,iOS,Angular/Angular.js,Angular/Angular.js,Android Studio
35021,11643.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Linux,Docker,jQuery,React.js,IntelliJ
35032,11646.0,Bash/Shell/PowerShell,Go,Firebase,DynamoDB,Android,Android,React.js,React.js,Android Studio
35033,11646.0,Go,Java,MySQL,Firebase,Docker,Docker,Spring,Spring,IntelliJ
35050,11648.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Docker,Android,Express,Express,IntelliJ
35059,11651.0,C,C,Microsoft SQL Server,MariaDB,Google Cloud Platform,Android,ASP.NET,Angular/Angular.js,Notepad++
35069,11652.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Android,Android,jQuery,jQuery,IPython / Jupyter
35070,11652.0,C++,C++,MySQL,MySQL,Arduino,Arduino,React.js,React.js,Notepad++
35079,11654.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
35080,11654.0,Java,Java,MySQL,MySQL,iOS,Docker,Spring,React.js,Vim
35088,11661.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Android,Android,jQuery,jQuery,Android Studio
35092,11666.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Redis,AWS,Docker,Django,React.js,IntelliJ
35102,11667.0,HTML/CSS,Kotlin,MySQL,MySQL,Android,Android,Angular/Angular.js,Laravel,Android Studio
35131,11679.0,C#,C#,Firebase,Microsoft SQL Server,Android,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
35144,11683.0,HTML/CSS,C++,SQLite,SQLite,Raspberry Pi,Raspberry Pi,Flask,Vue.js,Atom
35149,11684.0,Bash/Shell/PowerShell,C#,Elasticsearch,Cassandra,AWS,AWS,Drupal,Angular/Angular.js,IntelliJ
35150,11684.0,HTML/CSS,Java,MariaDB,Elasticsearch,Docker,Docker,jQuery,ASP.NET,Notepad++
35169,11687.0,Bash/Shell/PowerShell,C#,MongoDB,Elasticsearch,Android,Docker,ASP.NET,ASP.NET,IPython / Jupyter
35170,11687.0,C,Go,Microsoft SQL Server,Firebase,Arduino,Google Cloud Platform,Django,Vue.js,Notepad++
35179,11688.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,Docker,Docker,Express,React.js,Vim
35180,11688.0,HTML/CSS,Go,Microsoft SQL Server,Redis,Heroku,Heroku,React.js,Ruby on Rails,Visual Studio Code
35193,11690.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Eclipse
35194,11690.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,Linux,Kubernetes,React.js,React.js,Notepad++
35195,11690.0,Java,Java,MongoDB,MongoDB,Slack,Linux,Spring,Spring,Visual Studio Code
35200,11692.0,Elixir,Elixir,PostgreSQL,PostgreSQL,AWS,AWS,jQuery,jQuery,Atom
35206,11693.0,C++,Dart,MySQL,MongoDB,AWS,MacOS,jQuery,Angular/Angular.js,Notepad++
35211,11694.0,C++,HTML/CSS,Couchbase,Firebase,Android,Android,Angular/Angular.js,Spring,Android Studio
35220,11696.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,PostgreSQL,AWS,AWS,ASP.NET,Angular/Angular.js,Visual Studio Code
35229,11697.0,Swift,Swift,SQLite,SQLite,iOS,iOS,Other(s):,Other(s):,Xcode
35231,11699.0,Java,Java,DynamoDB,DynamoDB,AWS,AWS,Spring,Spring,IntelliJ
35232,11699.0,JavaScript,JavaScript,MariaDB,MariaDB,Docker,Docker,Other(s):,Other(s):,Vim
35236,11701.0,Java,C,MySQL,MySQL,Windows,AWS,Spring,Spring,Eclipse
35249,11703.0,HTML/CSS,C,MongoDB,PostgreSQL,Microsoft Azure,AWS,React.js,React.js,Sublime Text
35252,11708.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
35262,11710.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Linux,AWS,Angular/Angular.js,ASP.NET,Sublime Text
35263,11710.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Google Cloud Platform,ASP.NET,Django,Visual Studio
35290,11720.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Microsoft Azure,AWS,React.js,React.js,Visual Studio Code
35294,11721.0,C#,C#,DynamoDB,Elasticsearch,AWS,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
35295,11721.0,JavaScript,JavaScript,Elasticsearch,MongoDB,Docker,AWS,ASP.NET,ASP.NET,IntelliJ
35301,11725.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,Linux,Android,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
35302,11725.0,JavaScript,Python,Redis,Redis,MacOS,Arduino,Django,Django,PyCharm
35308,11727.0,Erlang,Erlang,Cassandra,Couchbase,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
35315,11729.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,AWS,AWS,jQuery,jQuery,Eclipse
35316,11729.0,JavaScript,JavaScript,MySQL,MySQL,Linux,Linux,Laravel,Laravel,NetBeans
35320,11731.0,Bash/Shell/PowerShell,C#,MongoDB,MongoDB,Android,Android,ASP.NET,Express,Android Studio
35321,11731.0,C#,HTML/CSS,Microsoft SQL Server,MySQL,Linux,Linux,Express,jQuery,Visual Studio
35326,11734.0,Java,HTML/CSS,Oracle,Elasticsearch,Other(s):,Docker,Spring,Angular/Angular.js,IntelliJ
35330,11735.0,Java,Kotlin,MongoDB,DynamoDB,Android,Kubernetes,Angular/Angular.js,React.js,Android Studio
35331,11735.0,JavaScript,Python,PostgreSQL,Redis,AWS,Raspberry Pi,Express,Vue.js,Eclipse
35334,11738.0,C++,Clojure,Microsoft SQL Server,Elasticsearch,Heroku,Android,ASP.NET,Vue.js,Visual Studio Code
35347,11742.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,React.js,IntelliJ
35356,11744.0,C#,C#,Cassandra,Elasticsearch,AWS,Windows,ASP.NET,ASP.NET,Android Studio
35365,11746.0,HTML/CSS,HTML/CSS,Firebase,Couchbase,Arduino,Arduino,Django,Express,Visual Studio Code
35366,11746.0,Java,JavaScript,MongoDB,Elasticsearch,AWS,AWS,Express,Flask,Xcode
35376,11748.0,C,C#,Microsoft SQL Server,Firebase,Windows,AWS,ASP.NET,Angular/Angular.js,Visual Studio
35391,11754.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Android,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
35416,11762.0,Java,C++,MongoDB,MongoDB,Docker,AWS,Flask,Angular/Angular.js,IntelliJ
35417,11762.0,Python,Java,Microsoft SQL Server,Microsoft SQL Server,Kubernetes,Kubernetes,React.js,Flask,IPython / Jupyter
35422,11763.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Django,Django,IPython / Jupyter
35428,11764.0,C,Go,MariaDB,Firebase,AWS,AWS,Express,Express,RubyMine
35429,11764.0,C++,JavaScript,MongoDB,MariaDB,Docker,Docker,Ruby on Rails,Flask,Sublime Text
35435,11767.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Cassandra,AWS,AWS,Express,React.js,Vim
35436,11767.0,Go,Elixir,PostgreSQL,Couchbase,Docker,Docker,Vue.js,Vue.js,Visual Studio Code
35445,11769.0,JavaScript,JavaScript,MariaDB,MariaDB,Linux,Docker,Express,Express,Atom
35446,11769.0,PHP,PHP,MySQL,MySQL,MacOS,Kubernetes,jQuery,Other(s):,Vim
35449,11771.0,Bash/Shell/PowerShell,C++,PostgreSQL,Elasticsearch,Linux,Linux,Django,Django,IPython / Jupyter
35453,11772.0,Other(s):,Other(s):,MongoDB,MongoDB,Docker,Arduino,jQuery,jQuery,Vim
35459,11775.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,Elasticsearch,Android,Android,Spring,Spring,Android Studio
35475,11783.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,MariaDB,AWS,AWS,Angular/Angular.js,Express,Atom
35483,11786.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Docker,Docker,Spring,Spring,IntelliJ
35496,11789.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
35502,11791.0,HTML/CSS,Elixir,Firebase,PostgreSQL,AWS,AWS,Ruby on Rails,Django,Sublime Text
35508,11792.0,HTML/CSS,Java,MongoDB,MongoDB,Docker,AWS,Laravel,Vue.js,Atom
35515,11793.0,HTML/CSS,HTML/CSS,MySQL,MySQL,AWS,Linux,Laravel,Laravel,Atom
35518,11794.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MongoDB,Docker,Docker,Angular/Angular.js,Express,IntelliJ
35519,11794.0,Go,Go,MongoDB,PostgreSQL,Heroku,Linux,Express,React.js,RubyMine
35520,11794.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,Redis,IBM Cloud or Watson,MacOS,jQuery,Ruby on Rails,Vim
35540,11799.0,Bash/Shell/PowerShell,Go,MongoDB,Firebase,AWS,AWS,jQuery,Express,Atom
35541,11799.0,HTML/CSS,JavaScript,MySQL,MongoDB,Linux,Kubernetes,Laravel,React.js,Sublime Text
35549,11800.0,C#,C#,Microsoft SQL Server,Cassandra,AWS,AWS,ASP.NET,ASP.NET,Notepad++
35557,11801.0,Bash/Shell/PowerShell,Elixir,Cassandra,Elasticsearch,AWS,AWS,React.js,React.js,IntelliJ
35562,11803.0,HTML/CSS,C,Elasticsearch,Cassandra,Android,Android,Angular/Angular.js,Django,Android Studio
35563,11803.0,JavaScript,Go,Firebase,DynamoDB,AWS,AWS,Django,Express,Sublime Text
35564,11803.0,PHP,Java,MariaDB,Elasticsearch,Docker,Docker,Express,Flask,Vim
35565,11803.0,Python,JavaScript,MongoDB,MariaDB,Heroku,Google Cloud Platform,Flask,React.js,Visual Studio Code
35566,11803.0,SQL,Python,Microsoft SQL Server,MongoDB,iOS,Kubernetes,jQuery,Spring,Xcode
35582,11809.0,C#,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,Docker,Windows,Django,Django,Atom
35587,11812.0,C,Dart,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
35596,11815.0,Bash/Shell/PowerShell,HTML/CSS,MariaDB,MariaDB,Android,AWS,Express,Express,Visual Studio Code
35609,11819.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Couchbase,AWS,AWS,Flask,Flask,IntelliJ
35620,11820.0,C,Erlang,Cassandra,DynamoDB,Android,Google Cloud Platform,Angular/Angular.js,Django,Android Studio
35621,11820.0,C++,Kotlin,Elasticsearch,Firebase,AWS,Heroku,jQuery,Flask,IntelliJ
35626,11821.0,C#,Python,MongoDB,Elasticsearch,Docker,Kubernetes,ASP.NET,Django,Notepad++
35632,11823.0,C++,C++,MongoDB,DynamoDB,AWS,Android,Express,jQuery,Eclipse
35633,11823.0,HTML/CSS,HTML/CSS,MySQL,Elasticsearch,Linux,AWS,jQuery,React.js,Notepad++
35641,11829.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Cassandra,Docker,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
35647,11831.0,C,Go,MongoDB,MongoDB,MacOS,MacOS,Express,React.js,Emacs
35665,11837.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,DynamoDB,AWS,AWS,Flask,Flask,IPython / Jupyter
35673,11838.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,AWS,Android,Angular/Angular.js,Angular/Angular.js,Atom
35674,11838.0,HTML/CSS,C,MySQL,MySQL,Heroku,AWS,Django,Express,IPython / Jupyter
35681,11840.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Slack,AWS,jQuery,jQuery,Atom
35687,11841.0,Bash/Shell/PowerShell,Clojure,Elasticsearch,PostgreSQL,Arduino,Android,Express,React.js,PHPStorm
35688,11841.0,C,Elixir,MongoDB,SQLite,AWS,Arduino,jQuery,Vue.js,Visual Studio Code
35703,11845.0,HTML/CSS,C++,Cassandra,PostgreSQL,Heroku,Heroku,React.js,React.js,Eclipse
35708,11847.0,Bash/Shell/PowerShell,Dart,MariaDB,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
35709,11847.0,Go,Go,MongoDB,MongoDB,AWS,Docker,Django,Express,IPython / Jupyter
35710,11847.0,HTML/CSS,JavaScript,MySQL,PostgreSQL,Docker,iOS,Express,React.js,Vim
35711,11847.0,JavaScript,Kotlin,PostgreSQL,Redis,Google Cloud Platform,Kubernetes,jQuery,Spring,Visual Studio Code
35717,11849.0,C++,HTML/CSS,MongoDB,MySQL,AWS,Linux,Django,Angular/Angular.js,IPython / Jupyter
35723,11850.0,C#,C#,Firebase,MongoDB,Docker,Docker,Angular/Angular.js,Angular/Angular.js,NetBeans
35724,11850.0,HTML/CSS,HTML/CSS,MongoDB,Microsoft SQL Server,iOS,iOS,ASP.NET,ASP.NET,Notepad++
35728,11851.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Microsoft SQL Server,Arduino,Arduino,Angular/Angular.js,ASP.NET,Notepad++
35734,11852.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,AWS,Django,Angular/Angular.js,Sublime Text
35750,11856.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Docker,Docker,jQuery,Express,Atom
35754,11858.0,Elixir,Elixir,PostgreSQL,DynamoDB,AWS,Android,jQuery,jQuery,Sublime Text
35762,11859.0,HTML/CSS,Java,MariaDB,Couchbase,AWS,Linux,ASP.NET,Other(s):,Eclipse
35770,11860.0,C#,Clojure,MongoDB,PostgreSQL,AWS,AWS,ASP.NET,React.js,Emacs
35779,11861.0,Bash/Shell/PowerShell,HTML/CSS,DynamoDB,DynamoDB,Android,Android,Express,Laravel,Visual Studio Code
35785,11862.0,HTML/CSS,HTML/CSS,Firebase,DynamoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Atom
35786,11862.0,JavaScript,JavaScript,MongoDB,MongoDB,Arduino,Arduino,Express,Express,IntelliJ
35793,11863.0,C++,C++,Firebase,DynamoDB,Android,Arduino,Spring,Flask,Atom
35794,11863.0,HTML/CSS,Go,PostgreSQL,Elasticsearch,Arduino,AWS,Vue.js,Spring,IntelliJ
35802,11865.0,HTML/CSS,C++,Oracle,MongoDB,Linux,Other(s):,jQuery,jQuery,Eclipse
35806,11870.0,C,HTML/CSS,MySQL,Cassandra,Windows,Android,jQuery,jQuery,PHPStorm
35822,11873.0,C#,HTML/CSS,Firebase,Firebase,Windows,Android,jQuery,jQuery,Sublime Text
35826,11875.0,C#,C#,Microsoft SQL Server,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET,Notepad++
35827,11875.0,HTML/CSS,Python,Oracle,Microsoft SQL Server,Heroku,Heroku,jQuery,Django,Visual Studio
35832,11876.0,Dart,Dart,Firebase,Firebase,Android,Android,Django,Django,Android Studio
35833,11876.0,Java,Java,MySQL,MySQL,iOS,iOS,React.js,React.js,Eclipse
35839,11879.0,Bash/Shell/PowerShell,Go,MySQL,MySQL,AWS,AWS,Angular/Angular.js,Django,Vim
35840,11879.0,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Docker,Docker,Django,Laravel,Visual Studio Code
35841,11879.0,JavaScript,JavaScript,Redis,Redis,Heroku,iOS,Express,React.js,Xcode
35856,11891.0,Java,Java,PostgreSQL,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,React.js,IntelliJ
35863,11892.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Microsoft Azure,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
35868,11893.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,MacOS,jQuery,Laravel,Atom
35872,11895.0,HTML/CSS,Java,Oracle,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
35877,11899.0,Bash/Shell/PowerShell,HTML/CSS,Firebase,Firebase,Android,Android,Other(s):,Vue.js,Android Studio
35884,11901.0,C#,Java,Cassandra,Cassandra,Android,AWS,Angular/Angular.js,Express,Android Studio
35885,11901.0,Go,JavaScript,Elasticsearch,DynamoDB,AWS,Docker,ASP.NET,Flask,IntelliJ
35890,11906.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Microsoft Azure,Android,Express,Angular/Angular.js,Atom
35891,11906.0,C,Dart,MySQL,MongoDB,Windows,Arduino,React.js,Express,IntelliJ
35892,11906.0,C++,HTML/CSS,PostgreSQL,PostgreSQL,WordPress,Docker,Vue.js,Laravel,Sublime Text
35900,11907.0,JavaScript,JavaScript,MySQL,MySQL,Android,Windows,Laravel,Laravel,PHPStorm
35902,11910.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
35915,11913.0,Bash/Shell/PowerShell,Go,PostgreSQL,Couchbase,AWS,Docker,Spring,React.js,Eclipse
35919,11915.0,C,C,MongoDB,MongoDB,Android,Android,Express,Angular/Angular.js,Android Studio
35920,11915.0,C++,C++,Microsoft SQL Server,Microsoft SQL Server,Arduino,Arduino,jQuery,ASP.NET,Eclipse
35921,11915.0,C#,C#,MySQL,MySQL,AWS,AWS,React.js,Django,IntelliJ
35933,11916.0,Assembly,Bash/Shell/PowerShell,Firebase,Elasticsearch,Android,AWS,Angular/Angular.js,Flask,Emacs
